Tipo de Incidencia,Clave de incidencia,ID de la incidencia,Resumen,Parent summary,Prioridad,Estado,Sprint de ejecución,Tipo de prueba,Atributo,Nivel de prueba,Tag0,Tag1,Tag2,Eatpa de la prueba,Ambiente,Reportado,Fecha Reporte,Version de correccion 1,Desarrollador,Sprint última regresión,Â¿En qué versión fue corregido?,Estrategia de ejecución
Finding,MOB-589,182,Confirmation message is not displayed after submitting the form.,MOB-589,Baja,Resuelto,Sprint 2,Sanity,Funcional,Sistema,Datos,CORE Banking,Cloud,Requisitos,Pruebas,Camila Vargas,8/20/2025,v1.0.1,Juan Pérez,,v1.0.2,Manual
Finding,POS-101,183,The system does not respond when clicking certain buttons.,POS-101,Baja,Resuelto,Sprint 16,Integración,Funcional,integracion,Software Tradicional,Datalake,Mainframe,Requisitos,Sandbox,Jorge Ramírez,4/16/2024,v1.0.1,Camila Vargas,,v1.0.2,Manual
Finding,WEB-342,184,The search component does not filter properly.,WEB-342,Más Alta,Pendiente,Sprint 4,Funcional,Funcional,UAT,Datos,DWH,Cloud,Operacion,ShadowDR),Sofía Morales,4/6/2025,v1.0.1,Paula Navarro,,v1.0.2,Manual
Finding,BD-921,185,Error al guardar los cambios cuando el formulario estí incompleto.,BD-921,Media,Resuelto,Sprint 13,Carga,Usabilidad,Sistema,Software Tradicional,CRM,On-Premise- Hibrido,Ideación,Integracion,Jorge Ramírez,10/25/2025,v1.0.1,Juan Pérez,,v1.0.2,Manual
Finding,API-073,186,Logs are generated with NullPointerException errors.,API-073,Más Alta,Resuelto,Sprint 6,Funcional,Desempeño,UAT,Datos,ERP,Mainframe,Ideación,Sandbox,Gabriela Paredes,2/6/2025,v1.0.1,Camila Vargas,Sprint 17,v1.0.2,Manual
Finding,WEB-342,187,The system does not respond when clicking certain buttons.,WEB-342,Alta,Resuelto,Sprint 14,Funcional,Desempeño,UAT,SAP,Datalake,Mainframe,Requisitos,Pre-Producción,Valentina Castillo,5/9/2025,v1.0.1,Paula Navarro,,v1.0.2,Manual
Finding,BD-921,188,Browser compatibility issue on mobile devices.,BD-921,Media,En progreso,Sprint 8,Funcional,Datos,integracion,Datos,CRM,Cloud,Operacion,Pre-Producción,Daniela Ríos,12/19/2024,v1.0.1,Jorge Ramírez,,v1.0.2,Manual
Finding,API-073,189,The autocomplete function does not suggest expected values.,API-073,Más Alta,Resuelto,Sprint 13,Carga,UX,integracion,Software Tradicional,Datalake,Mainframe,Construcción,Producción,Pedro Cruz,7/27/2024,v1.0.1,Mariana Círdenas,,v1.0.2,Manual
Finding,CORE-568,190,Duplicate content is displayed in the results list.,CORE-568,Baja,Reabierto,Sprint 4,Aceptación,Funcional,UAT,Software Tradicional,Datalake,On-Premise- Hibrido,Requisitos,Pre-Producción,Esteban Méndez,9/22/2024,v1.0.1,Antonella Duque,,v1.0.2,Manual
Finding,CORE-568,191,Error al guardar los cambios cuando el formulario estí incompleto.,CORE-568,Más Alta,Pendiente,Sprint 9,Integración,Funcional,integracion,SAP,Datalake,Cloud,Ideación,Producción,Gabriela Paredes,12/10/2024,v1.0.1,Juan Pérez,,v1.0.2,Manual
Finding,KIOS-411,192,Browser compatibility issue on mobile devices.,KIOS-411,Media,Resuelto,Sprint 5,Integración,Usabilidad,integracion,Software IA,CRM,Cloud,Operacion,Sandbox,Juan Pérez,9/25/2025,v1.0.1,Lucía Ferníndez,,v1.0.2,Manual
Finding,WEB-342,193,Confirmation message is not displayed after submitting the form.,WEB-342,Media,Resuelto,Sprint 7,Regresión,Funcional,UAT,Software Tradicional,ERP,Mainframe,Ideación,Desarrollo,Gabriela Paredes,11/20/2024,v1.0.1,Mariana Círdenas,,v1.0.2,Manual
Finding,BD-921,194,Misalignment in interface elements.,BD-921,Media,Rechazado,Sprint 6,Aceptación,Funcional,Sistema,Datos,Datalake,Mainframe,Construcción,Producción,Gabriela Paredes,10/10/2024,v1.0.1,Antonella Duque,Sprint 8,v1.0.2,Manual
Finding,BD-921,195,Datos no persisten después de actualizar la pígina.,BD-921,Alta,Resuelto,Sprint 8,Funcional,Funcional,Sistema,SAP,CRM,On-Premise- Hibrido,Requisitos,Sandbox,Sofía Morales,8/28/2024,v1.0.1,Ana López,,v1.0.2,Automatizada
Finding,POS-101,196,The autocomplete function does not suggest expected values.,POS-101,Media,Pendiente,Sprint 11,Regresión,Funcional,Sistema,Software IA,ERP,Cloud,Ideación,Pruebas,Ana López,10/2/2025,v1.0.1,Paula Navarro,Sprint 16,v1.0.2,Manual
Finding,WEB-342,197,Issues with message internationalization.,WEB-342,Alta,Pendiente,Sprint 6,Smoke,Datos,UAT,SAP,DWH,Cloud,Requisitos,ShadowDR),Pedro Cruz,7/29/2025,v1.0.1,Antonella Duque,,v1.0.2,Manual
Finding,MOB-589,198,Browser compatibility issue on mobile devices.,MOB-589,Media,Pendiente,Sprint 13,Regresión,UX,integracion,Software Tradicional,Datalake,Cloud,Operacion,Producción,Sebastiín Cortés,12/7/2024,v1.0.1,Valentina Castillo,,v1.0.2,Manual
Finding,WEB-342,199,Issues with message internationalization.,WEB-342,Alta,Resuelto,Sprint 8,Funcional,Funcional,integracion,SAP,CRM,On-Premise- Hibrido,Operacion,Integracion,Lucía Ferníndez,5/13/2025,v1.0.1,Raúl Espinosa,,v1.0.2,Manual
Finding,KIOS-411,200,Permisos incorrectos asignados a usuarios estíndar.,KIOS-411,Más Alta,En progreso,Sprint 12,Integración,Datos,Unitaria,Software Tradicional,CRM,Mainframe,Ideación,Pruebas,Pedro Cruz,9/8/2024,v1.0.1,Mariana Círdenas,Sprint 12,v1.0.2,Manual
Finding,API-073,201,Validation errors are not shown in real time.,API-073,Media,Resuelto,Sprint 9,Funcional,Funcional,integracion,Datos,ERP,Cloud,Ideación,ShadowDR),Mateo Linares,9/28/2024,v1.0.1,Jorge Ramírez,,v1.0.2,Automatizada
Suggestion,CORE-568,202,Confirmation message is not displayed after submitting the form.,CORE-568,Media,Pendiente,Sprint 11,Aceptación,Datos,integracion,SAP,DWH,On-Premise- Hibrido,Requisitos,Sandbox,Antonella Duque,4/4/2024,v1.0.1,Lucía Ferníndez,,v1.0.2,Manual
Suggestion,KIOS-411,203,Browser compatibility issue on mobile devices.,KIOS-411,Alta,Reabierto,Sprint 7,Carga,Seguridad,Unitaria,Software Tradicional,CRM,On-Premise- Hibrido,Operacion,Sandbox,Paula Navarro,10/6/2025,v1.0.1,Raúl Espinosa,,v1.0.2,Manual
Suggestion,API-073,204,The search component does not filter properly.,API-073,Más Alta,En progreso,Sprint 11,Integración,Compatibilidad,Unitaria,Software Tradicional,ERP,Mainframe,Ideación,Pre-Producción,Pedro Cruz,8/7/2024,v1.0.1,Mateo Linares,,v1.0.2,Manual
Finding,CORE-568,205,Misalignment in interface elements.,CORE-568,Baja,Resuelto,Sprint 13,Funcional,Desempeño,Sistema,SAP,Datalake,Mainframe,Construcción,Integracion,Pedro Cruz,4/13/2024,v1.0.1,Gabriela Paredes,,v1.0.2,Manual
Finding,BD-921,206,The autocomplete function does not suggest expected values.,BD-921,Alta,Pendiente,Sprint 6,Funcional,UX,Sistema,Software IA,ERP,Cloud,Construcción,Pre-Producción,Laura Ortega,7/2/2024,v1.0.1,Jorge Ramírez,,v1.0.2,Manual
Finding,MOB-589,207,Confirmation message is not displayed after submitting the form.,MOB-589,Alta,Rechazado,Sprint 13,Exploratoria,Portabilidad,Unitaria,Datos,ERP,Cloud,Construcción,Pre-Producción,Valentina Castillo,8/17/2024,v1.0.1,Paula Navarro,Sprint 20,v1.0.2,Manual
Finding,CORE-568,208,Browser compatibility issue on mobile devices.,CORE-568,Baja,Resuelto,Sprint 7,Sanity,Compatibilidad,Sistema,SAP,DWH,On-Premise- Hibrido,Operacion,Sandbox,Juan Pérez,4/22/2025,v1.0.1,Gabriela Paredes,,v1.0.2,Manual
Finding,API-073,209,Error al guardar los cambios cuando el formulario estí incompleto.,API-073,Alta,Pendiente,Sprint 5,Regresión,Funcional,integracion,Software IA,ERP,On-Premise- Hibrido,Operacion,Sandbox,Antonella Duque,10/7/2025,v1.0.1,Sebastiín Cortés,,v1.0.2,Manual
Finding,MOB-589,210,The autocomplete function does not suggest expected values.,MOB-589,Media,Resuelto,Sprint 9,Sanity,Funcional,UAT,Software Tradicional,CORE Banking,On-Premise- Hibrido,Operacion,Producción,Miguel Herrera,1/12/2025,v1.0.1,Jorge Ramírez,Sprint 18,v1.0.2,Manual
Finding,WEB-342,211,Inconsistencies in date format in reports.,WEB-342,Media,Pendiente,Sprint 13,Regresión,Funcional,UAT,SAP,ERP,Cloud,Requisitos,Integracion,Jorge Ramírez,9/16/2025,v1.0.1,Sofía Morales,Sprint 18,v1.0.2,Manual
Finding,BD-921,212,Navigation failure between main module screens.,BD-921,Alta,Resuelto,Sprint 16,Aceptación,Desempeño,UAT,SAP,CRM,On-Premise- Hibrido,Ideación,Desarrollo,Gabriela Paredes,4/20/2024,v1.0.1,Raúl Espinosa,,v1.0.2,Manual
Finding,WEB-342,213,Confirmation message is not displayed after submitting the form.,WEB-342,Baja,Resuelto,Sprint 3,Regresión,Seguridad,UAT,SAP,CRM,On-Premise- Hibrido,Ideación,Pruebas,Raúl Espinosa,9/25/2025,v1.0.1,Pedro Cruz,,v1.0.2,Manual
Finding,POS-101,214,Email field validation does not work correctly.,POS-101,Más Alta,Pendiente,Sprint 12,Funcional,Funcional,Sistema,Datos,ERP,Cloud,Construcción,Pre-Producción,Daniela Ríos,9/27/2025,v1.0.1,Juan Pérez,,v1.0.2,Automatizada
Finding,CORE-568,215,Navigation failure between main module screens.,CORE-568,Alta,Resuelto,Sprint 8,Regresión,Funcional,Unitaria,Software Tradicional,CRM,On-Premise- Hibrido,Ideación,Sandbox,Sebastiín Cortés,1/11/2025,v1.0.1,Esteban Méndez,,v1.0.2,Manual
Finding,POS-101,216,The search component does not filter properly.,POS-101,Más Alta,Cerrado,Sprint 0,Carga,Funcional,integracion,Software IA,CORE Banking,On-Premise- Hibrido,Operacion,Pruebas,Sofía Morales,1/24/2025,v1.0.1,Raúl Espinosa,,v1.0.2,Manual
Finding,MOB-589,217,Error al guardar los cambios cuando el formulario estí incompleto.,MOB-589,Baja,Pendiente,Sprint 2,Integración,Compatibilidad,UAT,Datos,Datalake,On-Premise- Hibrido,Ideación,Desarrollo,Sofía Morales,9/29/2024,v1.0.1,Camila Vargas,Sprint 2,v1.0.2,Manual
Finding,WEB-342,218,The system freezes when entering special characters.,WEB-342,Media,Reabierto,Sprint 12,Regresión,Funcional,Unitaria,Software IA,Datalake,On-Premise- Hibrido,Construcción,Desarrollo,Mariana Círdenas,5/31/2025,v1.0.1,Esteban Méndez,Sprint 15,v1.0.2,Manual
Finding,MOB-589,219,Browser compatibility issue on mobile devices.,MOB-589,Baja,Pendiente,Sprint 15,Integración,Desempeño,Unitaria,Software IA,CRM,Mainframe,Operacion,Desarrollo,Antonella Duque,2/23/2024,v1.0.1,Raúl Espinosa,,v1.0.2,Manual
Finding,MOB-589,220,The send button remains inactive even with complete fields.,MOB-589,Media,Cerrado,Sprint 16,Regresión,Funcional,integracion,Software Tradicional,CORE Banking,On-Premise- Hibrido,Ideación,ShadowDR),Esteban Méndez,7/14/2025,v1.0.1,Pedro Cruz,,v1.0.2,Manual
Finding,BD-921,221,Browser compatibility issue on mobile devices.,BD-921,Baja,Rechazado,Sprint 8,Funcional,Seguridad,UAT,Software Tradicional,DWH,On-Premise- Hibrido,Ideación,Producción,Daniela Ríos,6/12/2025,v1.0.1,Isabela Aguirre,Sprint 11,v1.0.2,Manual
Finding,API-073,222,Logs are generated with NullPointerException errors.,API-073,Media,Resuelto,Sprint 7,Aceptación,Funcional,Unitaria,Software Tradicional,ERP,On-Premise- Hibrido,Ideación,ShadowDR),Isabela Aguirre,5/21/2024,v1.0.1,Miguel Herrera,,v1.0.2,Manual
Finding,MOB-589,223,The send button remains inactive even with complete fields.,MOB-589,Media,Resuelto,Sprint 14,Exploratoria,Funcional,Unitaria,Software IA,CORE Banking,Cloud,Ideación,Pre-Producción,Laura Ortega,2/2/2024,v1.0.1,Sofía Morales,,v1.0.2,Manual
Finding,BD-921,224,Logs are generated with NullPointerException errors.,BD-921,Baja,En progreso,Sprint 14,Aceptación,Funcional,integracion,Software IA,ERP,Cloud,Ideación,Pruebas,Lucía Ferníndez,12/24/2024,v1.0.1,Laura Ortega,Sprint 20,v1.0.2,Manual
Finding,BD-921,225,Duplicate content is displayed in the results list.,BD-921,Alta,En progreso,Sprint 8,Funcional,Funcional,UAT,Datos,CORE Banking,Mainframe,Operacion,Integracion,Valentina Castillo,12/31/2024,v1.0.1,Mateo Linares,Sprint 20,v1.0.2,Automatizada
Finding,POS-101,226,Duplicate content is displayed in the results list.,POS-101,Media,Cerrado,Sprint 16,Funcional,Desempeño,integracion,Datos,CRM,Mainframe,Operacion,Pre-Producción,Isabela Aguirre,2/17/2025,v1.0.1,Juan Pérez,,v1.0.2,Manual
Finding,KIOS-411,227,Email field validation does not work correctly.,KIOS-411,Más Alta,Reabierto,Sprint 16,Funcional,Funcional,Unitaria,Datos,Datalake,Mainframe,Requisitos,Sandbox,Paula Navarro,9/9/2024,v1.0.1,Daniela Ríos,,v1.0.2,Automatizada
Finding,WEB-342,228,La carga del módulo tarda mís de lo esperado.,WEB-342,Media,Pendiente,Sprint 6,Sanity,Funcional,Sistema,Software IA,CRM,On-Premise- Hibrido,Ideación,Pre-Producción,Raúl Espinosa,6/9/2025,v1.0.1,Antonella Duque,,v1.0.2,Manual
Finding,CORE-568,229,La carga del módulo tarda mís de lo esperado.,CORE-568,Baja,Cerrado,Sprint 8,Integración,UX,Unitaria,SAP,Datalake,Mainframe,Construcción,Sandbox,Daniela Ríos,8/2/2024,v1.0.1,Lucía Ferníndez,Sprint 17,v1.0.2,Manual
Finding,CORE-568,230,Issues with message internationalization.,CORE-568,Alta,Cerrado,Sprint 14,Integración,Funcional,integracion,Datos,Datalake,On-Premise- Hibrido,Operacion,Desarrollo,Juan Pérez,10/20/2025,v1.0.1,Laura Ortega,,v1.0.2,Manual
Finding,BD-921,231,Duplicate content is displayed in the results list.,BD-921,Alta,Cerrado,Sprint 15,Regresión,Funcional,Sistema,Datos,CORE Banking,Mainframe,Ideación,Pre-Producción,Camila Vargas,4/27/2024,v1.0.1,Sebastiín Cortés,Sprint 15,v1.0.2,Manual
Finding,CORE-568,232,Datos no persisten después de actualizar la pígina.,CORE-568,Más Alta,En progreso,Sprint 7,Funcional,Funcional,Sistema,Software Tradicional,Datalake,Cloud,Operacion,Pruebas,Jorge Ramírez,5/8/2025,v1.0.1,Gabriela Paredes,Sprint 19,v1.0.2,Manual
Finding,API-073,233,The system does not respond when clicking certain buttons.,API-073,Más Alta,Resuelto,Sprint 4,Funcional,Funcional,UAT,Datos,ERP,On-Premise- Hibrido,Ideación,Desarrollo,Sebastiín Cortés,7/26/2025,v1.0.1,Gabriela Paredes,Sprint 10,v1.0.2,Manual
Finding,API-073,234,Logs are generated with NullPointerException errors.,API-073,Media,Cerrado,Sprint 3,Integración,Funcional,integracion,Software IA,ERP,Cloud,Requisitos,Desarrollo,Lucía Ferníndez,8/20/2025,v1.0.1,Antonella Duque,,v1.0.2,Manual
Finding,API-073,235,The search component does not filter properly.,API-073,Baja,En progreso,Sprint 13,Aceptación,Portabilidad,Unitaria,SAP,CORE Banking,Mainframe,Requisitos,Desarrollo,Pedro Cruz,3/20/2025,v1.0.1,Camila Vargas,,v1.0.2,Manual
Finding,WEB-342,236,Misalignment in interface elements.,WEB-342,Alta,Pendiente,Sprint 1,Funcional,Funcional,Unitaria,Software IA,ERP,Mainframe,Requisitos,ShadowDR),Esteban Méndez,8/18/2024,v1.0.1,Paula Navarro,,v1.0.2,Automatizada
Suggestion,WEB-342,237,Validation errors are not shown in real time.,WEB-342,Alta,En progreso,Sprint 4,Aceptación,Portabilidad,UAT,SAP,CRM,Mainframe,Ideación,Integracion,Mateo Linares,11/19/2024,v1.0.1,Isabela Aguirre,,v1.0.2,Manual
Suggestion,API-073,238,Error al guardar los cambios cuando el formulario estí incompleto.,API-073,Alta,En progreso,Sprint 8,Aceptación,Usabilidad,Sistema,SAP,Datalake,Cloud,Operacion,Pre-Producción,Gabriela Paredes,4/18/2024,v1.0.1,Pedro Cruz,,v1.0.2,Manual
Suggestion,BD-921,239,Browser compatibility issue on mobile devices.,BD-921,Media,Cerrado,Sprint 3,Carga,Compatibilidad,Sistema,Datos,DWH,Mainframe,Requisitos,Producción,Sofía Morales,2/16/2024,v1.0.1,Laura Ortega,,v1.0.2,Manual
Finding,POS-101,240,The search component does not filter properly.,POS-101,Media,Cerrado,Sprint 3,Smoke,Funcional,integracion,Datos,CRM,On-Premise- Hibrido,Construcción,Pruebas,Daniela Ríos,8/1/2024,v1.0.1,Mariana Círdenas,,v1.0.2,Manual
Finding,BD-921,241,Email field validation does not work correctly.,BD-921,Media,En progreso,Sprint 5,Exploratoria,Usabilidad,Unitaria,Software Tradicional,Datalake,On-Premise- Hibrido,Requisitos,Sandbox,Jorge Ramírez,9/29/2025,v1.0.1,Daniela Ríos,Sprint 16,v1.0.2,Manual
Finding,WEB-342,242,Exported data does not match what is displayed on screen.,WEB-342,Baja,En progreso,Sprint 12,Aceptación,Datos,UAT,SAP,DWH,Cloud,Ideación,Integracion,Gabriela Paredes,5/14/2024,v1.0.1,Daniela Ríos,,v1.0.2,Manual
Finding,CORE-568,243,Datos no persisten después de actualizar la pígina.,CORE-568,Baja,Pendiente,Sprint 4,Funcional,Compatibilidad,Sistema,SAP,ERP,On-Premise- Hibrido,Ideación,Pruebas,Esteban Méndez,10/11/2025,v1.0.1,Daniela Ríos,Sprint 17,v1.0.2,Manual
Finding,MOB-589,244,Misalignment in interface elements.,MOB-589,Baja,Resuelto,Sprint 18,Funcional,Funcional,Unitaria,SAP,DWH,On-Premise- Hibrido,Requisitos,Sandbox,Laura Ortega,2/1/2025,v1.0.1,Esteban Méndez,,v1.0.2,Automatizada
Finding,WEB-342,245,La carga del módulo tarda mís de lo esperado.,WEB-342,Baja,Resuelto,Sprint 18,Exploratoria,Funcional,UAT,Software Tradicional,CORE Banking,Cloud,Construcción,Integracion,Isabela Aguirre,9/12/2025,v1.0.1,Jorge Ramírez,,v1.0.2,Manual
Finding,API-073,246,La carga del módulo tarda mís de lo esperado.,API-073,Más Alta,Resuelto,Sprint 9,Aceptación,Funcional,UAT,Datos,CORE Banking,On-Premise- Hibrido,Operacion,Desarrollo,Camila Vargas,7/11/2025,v1.0.1,Pedro Cruz,,v1.0.2,Manual
Finding,WEB-342,247,The send button remains inactive even with complete fields.,WEB-342,Alta,Resuelto,Sprint 4,Exploratoria,Portabilidad,integracion,SAP,Datalake,Mainframe,Construcción,Pre-Producción,Sebastiín Cortés,9/7/2024,v1.0.1,Paula Navarro,,v1.0.2,Manual
Finding,MOB-589,248,Validation errors are not shown in real time.,MOB-589,Baja,En progreso,Sprint 7,Funcional,Compatibilidad,Unitaria,Software Tradicional,ERP,Cloud,Operacion,Sandbox,Juan Pérez,4/9/2025,v1.0.1,Lucía Ferníndez,Sprint 19,v1.0.2,Manual
Finding,MOB-589,249,La carga del módulo tarda mís de lo esperado.,MOB-589,Baja,Pendiente,Sprint 5,Exploratoria,Funcional,Unitaria,Datos,DWH,On-Premise- Hibrido,Operacion,Producción,Ana López,1/18/2025,v1.0.1,Lucía Ferníndez,,v1.0.2,Manual
Finding,MOB-589,250,Validation errors are not shown in real time.,MOB-589,Más Alta,Pendiente,Sprint 9,Sanity,Funcional,Unitaria,Datos,DWH,Mainframe,Construcción,Pre-Producción,Antonella Duque,10/6/2024,v1.0.1,Lucía Ferníndez,,v1.0.2,Manual
Finding,CORE-568,251,Error al guardar los cambios cuando el formulario estí incompleto.,CORE-568,Baja,En progreso,Sprint 14,Funcional,Funcional,UAT,Software IA,Datalake,Mainframe,Operacion,Pre-Producción,Daniela Ríos,7/27/2025,v1.0.1,Juan Pérez,,v1.0.2,Manual
Finding,KIOS-411,252,Permisos incorrectos asignados a usuarios estíndar.,KIOS-411,Más Alta,Rechazado,Sprint 1,Exploratoria,Datos,Sistema,Software IA,ERP,Cloud,Requisitos,ShadowDR),Jorge Ramírez,2/9/2024,v1.0.1,Mariana Círdenas,,v1.0.2,Manual
Finding,WEB-342,253,Permisos incorrectos asignados a usuarios estíndar.,WEB-342,Baja,En progreso,Sprint 14,Integración,Seguridad,UAT,Software Tradicional,DWH,On-Premise- Hibrido,Ideación,Producción,Sofía Morales,12/17/2024,v1.0.1,Juan Pérez,,v1.0.2,Manual
Finding,CORE-568,254,Error al guardar los cambios cuando el formulario estí incompleto.,CORE-568,Baja,Reabierto,Sprint 10,Sanity,Compatibilidad,UAT,Software Tradicional,DWH,Mainframe,Ideación,Pruebas,Isabela Aguirre,3/3/2024,v1.0.1,Daniela Ríos,,v1.0.2,Manual
Finding,POS-101,255,Misalignment in interface elements.,POS-101,Más Alta,En progreso,Sprint 4,Funcional,Funcional,integracion,Software Tradicional,DWH,Mainframe,Operacion,Integracion,Lucía Ferníndez,4/23/2025,v1.0.1,Raúl Espinosa,,v1.0.2,Automatizada
Finding,API-073,256,Datos no persisten después de actualizar la pígina.,API-073,Más Alta,En progreso,Sprint 9,Funcional,Desempeño,UAT,Datos,Datalake,Cloud,Requisitos,Integracion,Mariana Círdenas,5/27/2025,v1.0.1,Ana López,,v1.0.2,Manual
Finding,CORE-568,257,La carga del módulo tarda mís de lo esperado.,CORE-568,Baja,En progreso,Sprint 9,Sanity,Funcional,UAT,Software Tradicional,CRM,Cloud,Requisitos,ShadowDR),Mariana Círdenas,7/16/2025,v1.0.1,Antonella Duque,Sprint 15,v1.0.2,Manual
Finding,WEB-342,258,Permisos incorrectos asignados a usuarios estíndar.,WEB-342,Media,Pendiente,Sprint 13,Funcional,Funcional,integracion,Software IA,DWH,Cloud,Requisitos,Pruebas,Jorge Ramírez,8/29/2024,v1.0.1,Mateo Linares,,v1.0.2,Manual
Finding,BD-921,259,Navigation failure between main module screens.,BD-921,Baja,Reabierto,Sprint 13,Integración,Funcional,Sistema,Datos,ERP,On-Premise- Hibrido,Construcción,Integracion,Mateo Linares,5/23/2025,v1.0.1,Ana López,,v1.0.2,Manual
Finding,MOB-589,260,The system does not respond when clicking certain buttons.,MOB-589,Media,En progreso,Sprint 15,Regresión,Funcional,Unitaria,Software IA,CRM,Mainframe,Operacion,Desarrollo,Sebastiín Cortés,4/6/2025,v1.0.1,Daniela Ríos,Sprint 16,v1.0.2,Manual
Finding,BD-921,261,The send button remains inactive even with complete fields.,BD-921,Alta,Resuelto,Sprint 13,Funcional,Funcional,Unitaria,Software IA,DWH,On-Premise- Hibrido,Operacion,Producción,Raúl Espinosa,5/12/2024,v1.0.1,Sebastiín Cortés,,v1.0.2,Manual
Finding,BD-921,262,Permisos incorrectos asignados a usuarios estíndar.,BD-921,Alta,Rechazado,Sprint 13,Carga,Datos,Sistema,Datos,CORE Banking,Mainframe,Ideación,Pre-Producción,Valentina Castillo,2/28/2024,v1.0.1,Camila Vargas,,v1.0.2,Manual
Finding,CORE-568,263,The system freezes when entering special characters.,CORE-568,Baja,Cerrado,Sprint 8,Funcional,Usabilidad,UAT,Datos,DWH,Mainframe,Construcción,Pruebas,Mariana Círdenas,10/28/2024,v1.0.1,Daniela Ríos,,v1.0.2,Manual
Finding,WEB-342,264,Email field validation does not work correctly.,WEB-342,Alta,En progreso,Sprint 0,Integración,Desempeño,UAT,SAP,CORE Banking,Cloud,Ideación,ShadowDR),Miguel Herrera,4/2/2025,v1.0.1,Lucía Ferníndez,,v1.0.2,Manual
Finding,CORE-568,265,Issues with message internationalization.,CORE-568,Media,Cerrado,Sprint 4,Integración,Compatibilidad,UAT,Software IA,ERP,Mainframe,Operacion,Integracion,Sofía Morales,7/6/2025,v1.0.1,Ana López,Sprint 4,v1.0.2,Manual
Finding,WEB-342,266,Datos no persisten después de actualizar la pígina.,WEB-342,Alta,Resuelto,Sprint 18,Integración,Funcional,integracion,Software IA,DWH,Cloud,Requisitos,ShadowDR),Juan Pérez,6/4/2025,v1.0.1,Juan Pérez,,v1.0.2,Manual
Finding,CORE-568,267,The autocomplete function does not suggest expected values.,CORE-568,Más Alta,Resuelto,Sprint 9,Funcional,Funcional,Sistema,Datos,DWH,On-Premise- Hibrido,Ideación,Pruebas,Ana López,5/20/2024,v1.0.1,Daniela Ríos,,v1.0.2,Automatizada
Finding,POS-101,268,Duplicate content is displayed in the results list.,POS-101,Baja,Resuelto,Sprint 9,Funcional,Funcional,Unitaria,Datos,ERP,Mainframe,Construcción,ShadowDR),Camila Vargas,10/27/2024,v1.0.1,Paula Navarro,Sprint 20,v1.0.2,Automatizada
Finding,WEB-342,269,The autocomplete function does not suggest expected values.,WEB-342,Alta,Pendiente,Sprint 3,Carga,Funcional,Sistema,Datos,ERP,On-Premise- Hibrido,Ideación,Pre-Producción,Miguel Herrera,1/21/2025,v1.0.1,Miguel Herrera,,v1.0.2,Manual
Finding,MOB-589,270,Misalignment in interface elements.,MOB-589,Más Alta,Pendiente,Sprint 16,Funcional,Funcional,integracion,Datos,Datalake,Mainframe,Operacion,ShadowDR),Pedro Cruz,8/19/2025,v1.0.1,Gabriela Paredes,Sprint 16,v1.0.2,Manual
Finding,API-073,271,Inconsistencies in date format in reports.,API-073,Baja,Pendiente,Sprint 2,Funcional,Funcional,Unitaria,SAP,CORE Banking,Mainframe,Construcción,ShadowDR),Jorge Ramírez,5/2/2024,v1.0.1,Paula Navarro,,v1.0.2,Automatizada
Suggestion,WEB-342,272,Duplicate content is displayed in the results list.,WEB-342,Media,Resuelto,Sprint 8,Aceptación,Funcional,Sistema,SAP,CORE Banking,Cloud,Requisitos,Pre-Producción,Gabriela Paredes,9/10/2024,v1.0.1,Sofía Morales,,v1.0.2,Manual
Suggestion,KIOS-411,273,The system does not respond when clicking certain buttons.,KIOS-411,Media,Resuelto,Sprint 5,Funcional,Seguridad,UAT,Software Tradicional,ERP,Mainframe,Requisitos,Producción,Camila Vargas,8/22/2025,v1.0.1,Paula Navarro,,v1.0.2,Manual
Suggestion,POS-101,274,Issues with message internationalization.,POS-101,Media,Resuelto,Sprint 12,Exploratoria,Funcional,Sistema,Software IA,ERP,On-Premise- Hibrido,Construcción,Sandbox,Camila Vargas,1/30/2024,v1.0.1,Antonella Duque,,v1.0.2,Manual
Finding,BD-921,275,La carga del módulo tarda mís de lo esperado.,BD-921,Alta,Pendiente,Sprint 5,Funcional,Portabilidad,integracion,SAP,DWH,On-Premise- Hibrido,Requisitos,ShadowDR),Raúl Espinosa,4/9/2025,v1.0.1,Mariana Círdenas,,v1.0.2,Manual
Finding,MOB-589,276,La carga del módulo tarda mís de lo esperado.,MOB-589,Alta,En progreso,Sprint 14,Funcional,Funcional,Sistema,Datos,CORE Banking,Mainframe,Ideación,Sandbox,Mariana Círdenas,8/13/2025,v1.0.1,Valentina Castillo,Sprint 14,v1.0.2,Manual
Finding,BD-921,277,La carga del módulo tarda mís de lo esperado.,BD-921,Media,Resuelto,Sprint 7,Carga,Funcional,Unitaria,Software Tradicional,Datalake,Cloud,Construcción,Producción,Lucía Ferníndez,4/13/2024,v1.0.1,Sofía Morales,,v1.0.2,Manual
Finding,CORE-568,278,Validation errors are not shown in real time.,CORE-568,Más Alta,En progreso,Sprint 15,Carga,Desempeño,Sistema,Software Tradicional,CRM,On-Premise- Hibrido,Ideación,Pre-Producción,Raúl Espinosa,10/18/2024,v1.0.1,Pedro Cruz,,v1.0.2,Manual
