Tipo de Incidencia,Clave de incidencia,ID de la incidencia,Resumen,Parent summary,Prioridad,Estado,Sprint de ejecución,Tipo de prueba,Atributo,Nivel de prueba,Tag0,Tag1,Tag2,Etapa de la prueba,Ambiente,Reportado,Fecha Reporte,Versión de corrección 1,Desarrollador,Sprint última regresión,En qué versión fue corregido?,Estrategia de ejecución
Task,TECH-1810,465262,Setup & Configure SFTP connections,,Trivial,Done,Sprint 161: 10/16 - 10/29/25,,,,Setup & Configure SFTP connections,,,,,Annie Wendel,10/13/2025 13:00,v1.0,Vijay Damania,Sprint 162: 10/30-11/12/25,v1.0,Manual
Task,TECH-1809,465260,Setup and configuration of PGP (Used by MTA),,Trivial,Done,Sprint 161: 10/16 - 10/29/25,,,,Setup,PGP,Used,,,Annie Wendel,10/13/2025 12:59,v1.0,Vijay Damania,Sprint 162: 10/30-11/12/25,v1.0,Manual
Task,TECH-1808,465258,Folder Sharing and permission rights - Used by some processes,,Trivial,Done,Sprint 161: 10/16 - 10/29/25,,,,Folder Sharing and permission rights,Used by some processes,,,,Annie Wendel,10/13/2025 12:59,v1.0,Annie Wendel,Sprint 162: 10/30-11/12/25,v1.0,Manual
Task,TECH-1807,465256,"Configure SQL for shell command, calling web services, OLE etc on PROD DB-2022",,Trivial,Done,Sprint 161: 10/16 - 10/29/25,,,,Configure SQL for shell command,calling web services,OLE etc on PROD DB,,,Annie Wendel,10/13/2025 12:59,v0,Vijay Damania,Sprint 162: 10/30-11/12/25,v0,Manual
Task,TECH-1806,465254,Setup and configuration of DB mail services on PROD DB-2022,,Trivial,Done,Sprint 161: 10/16 - 10/29/25,,,,2022,,,,,Annie Wendel,10/13/2025 12:58,v1.0,Vijay Damania,Sprint 162: 10/30-11/12/25,v1.0,Manual
Task,TECH-1805,465252,Validation of SSRS subscriptions or create if needed,,Trivial,Done,Sprint 161: 10/16 - 10/29/25,,,,Validation,SSRS,,,,Annie Wendel,10/13/2025 12:58,v1.0,Vijay Damania,Sprint 162: 10/30-11/12/25,v1.0,Manual
Task,TECH-1804,465250,Validation of SSRS reports or Upload reports if needed,,Trivial,Done,Sprint 161: 10/16 - 10/29/25,,,,Validation,SSRS,Upload,,,Annie Wendel,10/13/2025 12:58,v1.0,Vijay Damania,Sprint 162: 10/30-11/12/25,v1.0,Manual
Task,TECH-1803,465248,List objects required for Replication - Tables to be replicated - Identify if above tables are missing Primary key and set it - SPs to be replicated - Functions to be replicated,,Trivial,Done,Sprint 161: 10/16 - 10/29/25,,,,List objects required for Replication,Tables to be replicated,SPs to be replicated,,,Annie Wendel,10/13/2025 12:57,v1.0,Vijay Damania,Sprint 162: 10/30-11/12/25,v1.0,Manual
Task,TECH-1802,465246,Identify DB's required for Replication and DB that can be full backup once a day,,Trivial,Done,Sprint 161: 10/16 - 10/29/25,,,,Identify,Replication,,,,Annie Wendel,10/13/2025 12:56,v1.0,Vijay Damania,Sprint 162: 10/30-11/12/25,v1.0,Manual
Task,TECH-1801,465244,Whitelist IP in linked servers if applicable,,Trivial,Done,Sprint 161: 10/16 - 10/29/25,,,,Whitelist,,,,,Annie Wendel,10/13/2025 12:56,v1.0,Juan Pablo Olivera,,v1.0,Manual
Task,TECH-1800,465242,Move linked servers configured on existing PROD DB server to PROD DB-2022,,Trivial,Done,Sprint 161: 10/16 - 10/29/25,,,,2022,,,,,Annie Wendel,10/13/2025 12:56,v1.0,Jongman Paek,Sprint 162: 10/30-11/12/25,v1.0,Manual
Task,TECH-1799,465240,Setup of SSRS (Reporting services) on PROD DB-2022 server,,Trivial,Done,Sprint 161: 10/16 - 10/29/25,,,,2022 server,,,,,Annie Wendel,10/13/2025 12:55,v1.0,Vijay Damania,Sprint 162: 10/30-11/12/25,v1.0,Manual
Task,TECH-1798,465238,"Move SQL jobs to PROD DB - 2022 - DO NOT ENABLE THE JOBS - Ensure not to move existing disabled Jobs - Setup jobs for DB backup, Maintenance etc.",,Trivial,Done,Sprint 161: 10/16 - 10/29/25,,,,Move SQL jobs to PROD DB,2022,DO NOT ENABLE THE JOBS,,,Annie Wendel,10/13/2025 12:55,v1.0,Vijay Damania,Sprint 162: 10/30-11/12/25,v1.0,Manual
Task,TECH-1797,465236,Move all the DB from existing PROD DB server to PROD DB-2022,,Trivial,Done,Sprint 161: 10/16 - 10/29/25,,,,2022,,,,,Annie Wendel,10/13/2025 12:55,v1.0,Vijay Damania,Sprint 162: 10/30-11/12/25,v1.0,Manual
Task,TECH-1796,465234,Setup for Standard edition and 2022 compatibility level,,Trivial,Done,Sprint 161: 10/16 - 10/29/25,,,,Setup,Standard,,,,Annie Wendel,10/13/2025 12:52,v1.0,Vijay Damania,Sprint 162: 10/30-11/12/25,v1.0,Manual
Task,TECH-1795,465232,SQL 2022 installation,,Trivial,Done,Sprint 161: 10/16 - 10/29/25,,,,SQL 2022 installation,,,,,Annie Wendel,10/13/2025 12:52,v1.0,Vijay Damania,Sprint 162: 10/30-11/12/25,v1.0,Manual
Task,TECH-1794,465230,Set the Server time zone to Central Time - PROD DB-2022,,Trivial,Done,Sprint 161: 10/16 - 10/29/25,,,,PROD DB,2022,,,,Annie Wendel,10/13/2025 12:52,v1.0,Juan Pablo Olivera,,v1.0,Manual
Task,TECH-1793,465228,New EC2 instance for PROD DB-2022,,Trivial,Done,Sprint 161: 10/16 - 10/29/25,,,,New EC2 instance for PROD DB,2022,,,,Annie Wendel,10/13/2025 12:49,v1.0,,,v1.0,Manual
Story,TECH-1792,465160,CLONE - Users getting error message at Client Site when attempting to access Test Request module,,Trivial,Done,Sprint 160: 10/2 - 10/15/25,,,,CLONE,,,,,Diane Archer,10/10/2025 15:50,v1.0,Vijay Damania,Sprint 161: 10/16 - 10/29/25,v1.0,Manual
Story,TECH-1791,465097,CLONE - Copy update and UAT test order,,Trivial,Done,Sprint 160: 10/2 - 10/15/25,,,,CLONE,Copy update and UAT test order,,,,Kim Sallee,10/9/2025 17:02,v1.0,Rohan Gandhi,Sprint 161: 10/16 - 10/29/25,v1.0,Manual
Task,TECH-1933,465036,2)	Configuration of Role play section,,Trivial,To Do,,,,,2)	Configuration of Role play section,,,,,Annie Wendel,10/8/2025 15:14,versions,Vijay Damania,,versions,Manual
Task,TECH-1932,465034,Retest logic flag to be sent to TDMS,,Trivial,To Do,,,,,Retest,TDMS,,,,Annie Wendel,10/8/2025 15:13,versions,Vijay Damania,,versions,Manual
Test Execution,TECH-1786,465032,Browser Regression Testing - OPIC & WPT,,Trivial,Done,Sprint 160: 10/2 - 10/15/25,Regresion,,,Browser Regression Testing,OPIC & WPT,,,,Valentina Lorusso,10/8/2025 11:55,v1.0,Valentina Lorusso,,v1.0,Manual
Bug,TECH-1785,465028,DPE Exempted Agreement appears every login even if it was already signed previously,,Trivial,In Testing,Sprint 160: 10/2 - 10/15/25,,Functional,,DPE Exempted,Agreement,,,,Alexa Altez,10/8/2025 11:26,v1.0,Alexa Altez,Sprint 161: 10/16 - 10/29/25,v1.0,Manual
Story,TECH-1927,464969,"As a BoA recruiting portal user, I want to select if an OPI or OPIc will be proctored or unproctored when ordering so that the right materials are provided to the candidates depending on the proctoring environment.",,Trivial,To Do,,,,,As a BoA recruiting portal user,,,,,Annie Wendel,10/7/2025 10:59,versions,Vijay Damania,,versions,Manual
Task,TECH-1784,464967,"Before deploying to Prod, set all accounts to AAPPL/ALIRA DPA Exempted = Yes",,Trivial,Done,Sprint 160: 10/2 - 10/15/25,,,,Before deploying to Prod,set all accounts to AAPPL,ALIRA DPA Exempted = Yes,,,Annie Wendel,10/7/2025 10:50,v9,Annie Wendel,Sprint 161: 10/16 - 10/29/25,v9,Manual
Story,TECH-1783,464965,"As a TMS user, I want to select AAPPL/ALIRA DPE Exempted Yes/No on the Account Configuration screen so that I can control which accounts the agreement is served up to from the front end.",,Trivial,Done,Sprint 160: 10/2 - 10/15/25,,,,As a TMS user,I want to select AAPPL,ALIRA DPE Exempted Yes,,,Annie Wendel,10/7/2025 10:49,v1.0,Vijay Damania,Sprint 161: 10/16 - 10/29/25,v1.0,Manual
Task,TECH-1788,464948,Provide AAPPL 24-25 data in ACTFL's template format,,Trivial,Done,Sprint 161: 10/16 - 10/29/25,,,,Provide AAPPL 24,25 data in ACTFL's template format,,,,Annie Wendel,10/6/2025 16:56,v4,Jongman Paek,Sprint 162: 10/30-11/12/25,v4,Manual
Task,TECH-1790,464946,Provide data for AAPPL-SP in ACTFL's template format,,Trivial,Done,Sprint 161: 10/16 - 10/29/25,,,,Provide data for AAPPL,SP in ACTFL's template format,,,,Annie Wendel,10/6/2025 16:54,v4,Jongman Paek,Sprint 162: 10/30-11/12/25,v4,Manual
Epic,TECH-1907,464944,OPS: Reorder Button for AAPPL & ALIRA,,Trivial,To Do,,,,,OPS,Reorder Button for AAPPL & ALIRA,,,,Annie Wendel,10/6/2025 15:44,v1.0,Annie Wendel,,v1.0,Manual
Epic,TECH-1906,464943,OPS: Deidentify AAPPL Student Longitudinal Report and Print Labels when Masquerading,,Trivial,To Do,,,,,OPS,,,,,Annie Wendel,10/6/2025 15:38,v1.0,Annie Wendel,,v1.0,Manual
Epic,TECH-1905,464942,OPS: B2B Candidate LTI ID Identifier in TMS,,Trivial,In Development,,,,,OPS,,,,,Annie Wendel,10/6/2025 15:38,v04,Annie Wendel,,v04,Manual
Epic,TECH-1830,464940,APM: MTA requesting date validation in their order uploads,,Trivial,Done,,,,,APM,,,,,Annie Wendel,10/6/2025 15:37,v1.0,Annie Wendel,,v1.0,Manual
Bug,TECH-1782,464938,ALIRA DEMO - Image must have alternative text,,Trivial,To Do,Sprint 160: 10/2 - 10/15/25,,Functional,,ALIRA DEMO,Image must have alternative text,,,,Valentina Lorusso,10/6/2025 14:40,v1.0,Annie Wendel,Sprint 161: 10/16 - 10/29/25,v1.0,Manual
Epic,TECH-1787,464936,APM: ACTFL SRF for AAPPL 24-25,,Trivial,Done,,,,,APM,ACTFL SRF for AAPPL 24,,,,Annie Wendel,10/6/2025 14:24,v1.0,Annie Wendel,,v1.0,Manual
Epic,TECH-1789,464935,APM: ACTFL SRF - SP Monolingual,,Trivial,Done,,,,,APM,ACTFL SRF,SP Monolingual,,,Annie Wendel,10/6/2025 14:24,v1.0,Annie Wendel,,v1.0,Manual
Bug,TECH-1781,464934,ALIRA - Font sizes and styles are inconsistent across the site,,Trivial,To Do,Sprint 160: 10/2 - 10/15/25,,Functional,,ALIRA,,,,,Valentina Lorusso,10/6/2025 13:24,v1.0,Annie Wendel,Sprint 161: 10/16 - 10/29/25,v1.0,Manual
Test Execution,TECH-1780,464903,Patching Testing on Prod,,Trivial,Done,Sprint 160: 10/2 - 10/15/25,,,,Patching Testing on Prod,,,,,Valentina Lorusso,10/3/2025 13:28,v1.0,Valentina Lorusso,,v1.0,Manual
Test Execution,TECH-1779,464699,Test Execution of ALIRA WCAG Compliance,,Trivial,Done,Sprint 159: 9/18 - 10/1/25,,,,Test Execution of ALIRA WCAG Compliance,,,,,Valentina Lorusso,9/30/2025 11:25,v1.0,Valentina Lorusso,Sprint 160: 10/2 - 10/15/25,v1.0,Manual
Bug,TECH-1778,464599,DLI - Test rated UR/NR are finalized without Formstack approval,,Trivial,Done,Sprint 159: 9/18 - 10/1/25,,Functional,,DLI,Test rated UR,NR are finalized without Formstack approval,,,Valentina Lorusso,9/26/2025 13:59,v1.0,Annie Wendel,Sprint 160: 10/2 - 10/15/25,v1.0,Manual
Story,TECH-1777,464534,"OARS - PROD - DB, change Triple Des key to AES 256 key and encrypt data for encrypted column/s",,Trivial,To Do,Sprint 159: 9/18 - 10/1/25,,,,OARS,PROD,,,,Vijay Damania,9/25/2025 19:10,v1.0,Vijay Damania,Sprint 160: 10/2 - 10/15/25,v1.0,Manual
Story,TECH-1776,464533,"OARS - UAT - DB, change Triple Des key to AES 256 key and encrypt data for encrypted column/s",,Trivial,Done,Sprint 159: 9/18 - 10/1/25,,,,OARS,UAT,,,,Vijay Damania,9/25/2025 19:08,v1.0,Vijay Damania,Sprint 160: 10/2 - 10/15/25,v1.0,Manual
Task,TECH-1775,464334,Title II ETS Round 1 - 2025,,Trivial,Done,Sprint 159: 9/18 - 10/1/25,,,,Title II ETS Round 1,2025,,,,Rohan Gandhi,9/22/2025 12:50,v1.0,Rohan Gandhi,,v1.0,Manual
Task,TECH-1774,464276,Set up email template to be sent on completion of all orders to the user submitting the request. Wording to come from APM.,,Trivial,Done,Sprint 159: 9/18 - 10/1/25,,,,Set,Wording,APM,,,Annie Wendel,9/19/2025 17:45,v1.0,Vijay Damania,Sprint 160: 10/2 - 10/15/25,v1.0,Manual
Task,TECH-1773,464274,"Update progress wheel with wording: Your request is processing. Please wait. Closing, refreshing, or navigating away will cancel the process. You will see a confirmation and receive an email when your request is completed.",,Trivial,Done,Sprint 159: 9/18 - 10/1/25,,,,Update progress wheel with wording,refreshing,,,,Annie Wendel,9/19/2025 17:44,v1.0,Vijay Damania,Sprint 160: 10/2 - 10/15/25,v1.0,Manual
Task,TECH-1772,464272,Remove Information pop up after orange Save button is clicked.,,Trivial,Done,Sprint 159: 9/18 - 10/1/25,,,,Remove Information,Save,,,,Annie Wendel,9/19/2025 17:43,v1.0,Vijay Damania,Sprint 160: 10/2 - 10/15/25,v1.0,Manual
Bug,TECH-1771,464270,"DLI - ""Continue to Rationale"" question appears for UR/NR ratings",,Trivial,Done,Sprint 159: 9/18 - 10/1/25,,Functional,,DLI,NR ratings,,,,Valentina Lorusso,9/19/2025 17:13,v1.0,Annie Wendel,Sprint 160: 10/2 - 10/15/25,v1.0,Manual
Bug,TECH-1770,464214,"DLI - Incorrect error message displayed when ACTFL alert is deselected after choosing ""No"" for warm up/wind down",,Trivial,Done,Sprint 159: 9/18 - 10/1/25,,Functional,,DLI,wind down,,,,Valentina Lorusso,9/18/2025 15:24,v1.0,Annie Wendel,Sprint 160: 10/2 - 10/15/25,v1.0,Manual
Bug,TECH-1769,464212,DLI - Wind Conducted Question - ACTFL alert checkbox is deselected after completing ILR level justification section,,Trivial,Done,Sprint 159: 9/18 - 10/1/25,,Functional,,DLI,Wind Conducted Question,,,,Valentina Lorusso,9/18/2025 12:05,v1.0,Annie Wendel,Sprint 160: 10/2 - 10/15/25,v1.0,Manual
Bug,TECH-1768,464210,"DLI - Warm Conducted Question - ACTFL alert checkbox is deselected after filling ""response level"" field",,Trivial,Done,Sprint 159: 9/18 - 10/1/25,,Functional,,DLI,Warm Conducted Question,,,,Valentina Lorusso,9/18/2025 11:43,v1.0,Annie Wendel,Sprint 160: 10/2 - 10/15/25,v1.0,Manual
Bug,TECH-1767,464208,"DLI - Warm Conducted Question - Alert checkbox for ACTFL remains selected after switching answer from ""No"" to ""Yes""",,Trivial,Done,Sprint 159: 9/18 - 10/1/25,,Functional,,DLI,Warm Conducted Question,,,,Valentina Lorusso,9/18/2025 11:34,v1.0,Annie Wendel,Sprint 160: 10/2 - 10/15/25,v1.0,Manual
Task,TECH-1766,464205,Changes to behavior of Duplicates (currently Comments) column,,Trivial,Done,Sprint 159: 9/18 - 10/1/25,,,,Changes,Duplicates,Comments,,,Annie Wendel,9/18/2025 10:24,v1.0,Vijay Damania,Sprint 160: 10/2 - 10/15/25,v1.0,Manual
Task,TECH-1765,464203,Wording/Color Changes on Screen,,Trivial,Done,Sprint 159: 9/18 - 10/1/25,,,,Wording,Color Changes on Screen,,,,Annie Wendel,9/18/2025 10:09,v1.0,Vijay Damania,Sprint 160: 10/2 - 10/15/25,v1.0,Manual
Task,TECH-1764,464167,Insert prompt texts into the MySQL database on a yearly basis.,,Trivial,Done,Sprint 159: 9/18 - 10/1/25,,,,Insert,MySQL,,,,Annie Wendel,9/17/2025 16:52,v7,Jongman Paek,Sprint 160: 10/2 - 10/15/25,v7,Manual
Task,TECH-1762,464163,Create a procedure to store OPIc rating in the LTI database,,Trivial,Done,Sprint 159: 9/18 - 10/1/25,,,,Create,OPIc,LTI,,,Annie Wendel,9/17/2025 16:52,v1.0,Jongman Paek,Sprint 160: 10/2 - 10/15/25,v1.0,Manual
Task,TECH-1761,464161,Create a .net API that retrieve a rating in MySQL and store it in LTI database,,Trivial,Done,Sprint 159: 9/18 - 10/1/25,,,,Create,API,MySQL,,,Annie Wendel,9/17/2025 16:52,v1.0,Jongman Paek,Sprint 160: 10/2 - 10/15/25,v1.0,Manual
Task,TECH-1760,464159,Create a Lambda function for Step function to call when the rating is ready,,Trivial,Done,Sprint 159: 9/18 - 10/1/25,,,,Create,Lambda,Step,,,Annie Wendel,9/17/2025 16:52,v1.0,Jongman Paek,Sprint 160: 10/2 - 10/15/25,v1.0,Manual
Task,TECH-1759,464157,Create a job to send an SQS message when an OPIc is ready,,Trivial,Done,Sprint 159: 9/18 - 10/1/25,,,,Create,SQS,OPIc,,,Annie Wendel,9/17/2025 16:51,v1.0,Jongman Paek,Sprint 160: 10/2 - 10/15/25,v1.0,Manual
Task,TECH-1758,464155,Provide OPIc Metadata to Dario,,Trivial,Done,Sprint 159: 9/18 - 10/1/25,,,,Provide OPIc Metadata to Dario,,,,,Annie Wendel,9/17/2025 16:51,v1.0,Jongman Paek,Sprint 160: 10/2 - 10/15/25,v1.0,Manual
Bug,TECH-1757,464153,Text in blue and no space by icon on Honor Code and Complete screens,,Trivial,Done,Sprint 158: 9/4 - 9/17/25,,Functional,,Text,Honor Code,Complete,,,Annie Wendel,9/17/2025 16:49,v1.0,Annie Wendel,Sprint 159: 9/18 - 10/1/25,v1.0,Manual
Bug,TECH-1753,464145,Font color and spacing issue on the Honor Code and Test Completion Screen,,Trivial,To Do,,,Functional,,Font,Honor Code,Test Completion,,,Annie Wendel,9/17/2025 16:25,v1.0,,,v1.0,Manual
Bug,TECH-1752,464144,[AAPPL Accommodations] Trying to upload an excel file with less columns than the required does not prompt the user to a friendly error message,,Trivial,Done,Sprint 158: 9/4 - 9/17/25,,Functional,,AAPPL Accommodations,Trying,,,,Alexa Altez,9/17/2025 16:17,v1.0,Annie Wendel,Sprint 159: 9/18 - 10/1/25,v1.0,Manual
Sub-task,TECH-1750,464120,"Handle remote proctored test scenario (excludes prometric): If selected datetime is in past, then add 15 days to current date",,Trivial,Done,Sprint 150: 5/15-5/28/25,,,,If selected datetime is in past,,,,,Vijay Damania,9/16/2025 14:34,v1.0,Stephen Benavides,Sprint 151: 5/29-6/11/25,v1.0,Manual
Sub-task,TECH-1749,464118,"Handle remote proctored test scenario (excludes prometric): If selected datetime is same as another assessment, then add 15 days to current date",,Trivial,Done,Sprint 150: 5/15-5/28/25,,,,Handle,,,,,Vijay Damania,9/16/2025 14:33,v1.0,Stephen Benavides,Sprint 151: 5/29-6/11/25,v1.0,Manual
Sub-task,TECH-1748,464116,Handle remote proctored test scenario (excludes prometric): if push to remote proctor fails then add 15 days to current date and invoke create again,,Trivial,Done,Sprint 150: 5/15-5/28/25,,,,Handle,,,,,Vijay Damania,9/16/2025 14:32,v1.0,Stephen Benavides,Sprint 151: 5/29-6/11/25,v1.0,Manual
Sub-task,TECH-1747,464113,Handle case whereby previous order information is in TMS but payment status is not updated,,Trivial,Done,Sprint 150: 5/15-5/28/25,,,,Handle,TMS,,,,Vijay Damania,9/16/2025 12:44,v1.0,Stephen Benavides,Sprint 151: 5/29-6/11/25,v1.0,Manual
Sub-task,TECH-1746,464111,Handle cases whereby previous through actual workflow transaction/order is created but link to Magento failed whereby it still remains pending on Magento and then gets pulled again from Failed API,,Trivial,Done,Sprint 150: 5/15-5/28/25,,,,Handle,Magento,Failed API,,,Vijay Damania,9/16/2025 12:43,v1.0,Stephen Benavides,Sprint 151: 5/29-6/11/25,v1.0,Manual
Sub-task,TECH-1745,464109,Handle cases whereby transaction/order is created but link to Magento failed whereby it still remains pending on Magento,,Trivial,Done,Sprint 150: 5/15-5/28/25,,,,Handle cases whereby transaction,,,,,Vijay Damania,9/16/2025 12:43,v1.0,Stephen Benavides,Sprint 151: 5/29-6/11/25,v1.0,Manual
Bug,TECH-1744,464107,DLI - Inconsistent validation on rationale checkbox between numerical ratings and UR/NR ratings,,Trivial,Done,Sprint 158: 9/4 - 9/17/25,,Functional,,DLI,NR ratings,,,,Valentina Lorusso,9/16/2025 12:14,v1.0,Annie Wendel,Sprint 159: 9/18 - 10/1/25,v1.0,Manual
Bug,TECH-1743,464089,DLI - Rationale checkbox selections are lost when navigating back and forth between Page 1 and Page 2,,Trivial,Done,Sprint 158: 9/4 - 9/17/25,,Functional,,DLI,,,,,Valentina Lorusso,9/15/2025 17:23,v1.0,Annie Wendel,Sprint 159: 9/18 - 10/1/25,v1.0,Manual
Bug,TECH-1742,464087,"DLI - When clicking the ""Generate Rationale"" button when is disabled, it changes the last sentence of the evidence",,Trivial,Done,Sprint 158: 9/4 - 9/17/25,,Functional,,DLI,,,,,Valentina Lorusso,9/15/2025 16:59,v1.0,Annie Wendel,Sprint 159: 9/18 - 10/1/25,v1.0,Manual
Bug,TECH-1741,464085,"DLI - When the Rating is UR/NR the ""Rationale Meets"" and ""Not Meets"" Titles needs to be changed",,Trivial,Done,Sprint 158: 9/4 - 9/17/25,,Functional,,DLI,When the Rating is UR,,,,Valentina Lorusso,9/15/2025 16:01,v1.0,Annie Wendel,Sprint 159: 9/18 - 10/1/25,v1.0,Manual
Bug,TECH-1740,464083,"DLI - When UR/NR rating is selected, the form allows to submit it without completing the rationale",,Trivial,Done,Sprint 158: 9/4 - 9/17/25,,Functional,,DLI,When UR,NR rating is selected,,,Valentina Lorusso,9/15/2025 15:56,v1.0,Annie Wendel,,v1.0,Manual
Task,TECH-1721,464079,Set up 25 dummy DLI OPIs for 2nd rating for ACTFL UAT of Rationale on UAT Rater Site,,Trivial,Done,Sprint 158: 9/4 - 9/17/25,,,,Set,DLI OPIs,ACTFL UAT,,,Annie Wendel,9/15/2025 11:53,v1.0,Rohan Gandhi,,v1.0,Manual
Bug,TECH-1720,464055,Tap to playback audio pop up in IL,,Trivial,Ready for Testing,Sprint 158: 9/4 - 9/17/25,,Functional,,Tap,,,,,Annie Wendel,9/12/2025 15:46,version 14.,Valentina Lorusso,Sprint 159: 9/18 - 10/1/25,version 14.,Manual
Bug,TECH-1719,464053,AAPPL Rater Site Text Issues,,Trivial,Ready for Testing,Sprint 158: 9/4 - 9/17/25,,Functional,,AAPPL Rater Site Text Issues,,,,,Annie Wendel,9/12/2025 15:45,v1.0,Valentina Lorusso,Sprint 159: 9/18 - 10/1/25,v1.0,Manual
Task,TECH-1718,464050,CLONE - Request to change logic of data being pulled for My Account module at LTI Client Site,,Trivial,Done,Sprint 162: 10/30-11/12/25,,,,CLONE,,,,,Diane Archer,9/12/2025 13:58,v56,Rohan Gandhi,,v56,Manual
Bug,TECH-1717,464048,AAPPL ASL - PROD - Firefox - RC Component - Pop Out Video option is present for all videos and logs out by clicking it,,Trivial,Done,Sprint 158: 9/4 - 9/17/25,,Functional,,AAPPL ASL,PROD,Firefox,,,Valentina Lorusso,9/12/2025 13:57,v1.0,Annie Wendel,Sprint 159: 9/18 - 10/1/25,v1.0,Manual
Bug,TECH-1716,464047,AAPPL ASL - PROD - Edge & Firefox - RC Component - Picture in Picture option is present for all videos and logs out by clicking it,,Trivial,Done,Sprint 158: 9/4 - 9/17/25,,Functional,,AAPPL ASL,PROD,Edge & Firefox,,,Valentina Lorusso,9/12/2025 13:37,v1.0,Annie Wendel,Sprint 159: 9/18 - 10/1/25,v1.0,Manual
Bug,TECH-1715,464045,Link to ASL System Check  not appearing on main Sys Check page,,Trivial,Done,Sprint 158: 9/4 - 9/17/25,System,Functional,,Link,ASL System,Check,,,Annie Wendel,9/12/2025 13:23,v1.0,Annie Wendel,Sprint 159: 9/18 - 10/1/25,v1.0,Manual
Bug,TECH-1714,464041,[Prod APPLE Smoke] Tasks 6/6 in IR and IL id different from the one in UAT,,Trivial,Done,Sprint 158: 9/4 - 9/17/25,Smoke Test,Functional,,[Prod APPLE Smoke] Tasks 6,,,,,Alexa Altez,9/12/2025 12:32,versions.,Annie Wendel,,versions.,Manual
Bug,TECH-1713,464040,ILS prompts loading incorrectly in Edge on Windows 11,,Trivial,Done,Sprint 158: 9/4 - 9/17/25,,Functional,,ILS,Edge,Windows,,,Annie Wendel,9/12/2025 11:42,V461993,Annie Wendel,,V461993,Manual
Bug,TECH-1712,464038,"On Admin Site, PW prompt text is popping out on Prod - see video",,Trivial,To Do,Sprint 158: 9/4 - 9/17/25,,Functional,,On Admin Site,see video,,,,Annie Wendel,9/12/2025 10:12,v1.0,Jongman Paek,Sprint 159: 9/18 - 10/1/25,v1.0,Manual
Task,TECH-1711,464029,CLONE - ETS Title II Data Matching/Reporting for University of Wisconsin-Eau Claire,,Trivial,Done,Sprint 159: 9/18 - 10/1/25,,,,CLONE,ETS Title II Data Matching,Reporting for University of Wisconsin,,,Diane Archer,9/11/2025 15:02,v1.0,Rohan Gandhi,,v1.0,Manual
Story,TECH-1729,464025,RC complete page,,Trivial,Done,Sprint 164: 11/26 - 12/10/25,,,,RC complete page,,,,,Annie Wendel,9/11/2025 13:21,v1.0,Yun Ju Lee,Sprint 165: 12/10 - 12/24/25,v1.0,Manual
Story,TECH-1728,464023,RC testing page,,Trivial,Done,Sprint 164: 11/26 - 12/10/25,,,,RC testing page,,,,,Annie Wendel,9/11/2025 13:21,v1.0,Yun Ju Lee,Sprint 165: 12/10 - 12/24/25,v1.0,Manual
Story,TECH-1727,464021,RC intro video page,,Trivial,Done,Sprint 164: 11/26 - 12/10/25,,,,RC intro video page,,,,,Annie Wendel,9/11/2025 13:21,v1.0,Yun Ju Lee,Sprint 165: 12/10 - 12/24/25,v1.0,Manual
Story,TECH-1726,464019,RC instruction page,,Trivial,Done,Sprint 164: 11/26 - 12/10/25,,,,RC instruction page,,,,,Annie Wendel,9/11/2025 13:21,v1.0,Yun Ju Lee,Sprint 165: 12/10 - 12/24/25,v1.0,Manual
Story,TECH-1725,464017,RC setup page,,Trivial,Done,Sprint 164: 11/26 - 12/10/25,,,,RC setup page,,,,,Annie Wendel,9/11/2025 13:21,v1.0,Yun Ju Lee,Sprint 165: 12/10 - 12/24/25,v1.0,Manual
Story,TECH-1723,464013,Choose an RC test,,Trivial,Done,Sprint 164: 11/26 - 12/10/25,,,,Choose an RC test,,,,,Annie Wendel,9/11/2025 13:20,v1.0,Yun Ju Lee,Sprint 165: 12/10 - 12/24/25,v1.0,Manual
Story,TECH-1736,464009,II completed page,,Trivial,Done,Sprint 160: 10/2 - 10/15/25,,,,II completed page,,,,,Annie Wendel,9/11/2025 13:20,v1.0,Jongman Paek,Sprint 161: 10/16 - 10/29/25,v1.0,Manual
Story,TECH-1733,464007,II testing page,,Trivial,Done,Sprint 160: 10/2 - 10/15/25,,,,II testing page,,,,,Annie Wendel,9/11/2025 13:20,v1.0,Jongman Paek,Sprint 161: 10/16 - 10/29/25,v1.0,Manual
Story,TECH-1731,464005,II intro video page,,Trivial,Done,Sprint 160: 10/2 - 10/15/25,,,,II intro video page,,,,,Annie Wendel,9/11/2025 13:20,v1.0,Jongman Paek,Sprint 161: 10/16 - 10/29/25,v1.0,Manual
Task,TECH-1710,463987,Create a Database job running nightly to migrate the ILS Machine scores,,Trivial,Done,Sprint 158: 9/4 - 9/17/25,,,,Create,Database,ILS Machine,,,Annie Wendel,9/10/2025 16:56,v1.0,Jongman Paek,Sprint 159: 9/18 - 10/1/25,v1.0,Manual
Task,TECH-1709,463985,Create procedure to migrate the ILS Machine scores into LTI database,,Trivial,Done,Sprint 158: 9/4 - 9/17/25,,,,Create,ILS Machine,LTI,,,Annie Wendel,9/10/2025 16:56,v1.0,Jongman Paek,Sprint 159: 9/18 - 10/1/25,v1.0,Manual
